Algorithm,Subtype,train_acc,val_acc,train_prec,val_prec,train_rec,val_rec,train_f1,val_f1,test_acc,test_prec,test_rec,test_f1,test_aucroc
Naive Bayes,ER,0.7124773960216998,0.7336956521739131,0.6797330722360299,0.6949056603773586,0.7124773960216998,0.7336956521739131,0.6909492966346493,0.7037274149950206,0.6324324324324324,0.5862472520367257,0.6324324324324324,0.6046170046170046,0.5308750365817969
Naive Bayes,PR,0.6383363471971067,0.6467391304347826,0.6034056261451685,0.6148881504046279,0.6383363471971067,0.6467391304347826,0.6014531022859977,0.597717710059926,0.5891891891891892,0.5495992544268405,0.5891891891891892,0.5603207603207603,0.526794938016529
Naive Bayes,Mol Subtype,0.35804701627486435,0.3532608695652174,0.5907290573839092,0.6430032714665769,0.35804701627486435,0.3532608695652174,0.40083247138842326,0.41556677018633537,0.2756756756756757,0.44570758586331444,0.2756756756756757,0.31009440062071647,
Naive Bayes,HER2,0.6889692585895117,0.717391304347826,0.7175629610748647,0.7442394187521625,0.6889692585895117,0.717391304347826,0.7020982287615466,0.7297469673600401,0.7189189189189189,0.7702027652073906,0.7189189189189189,0.7400468962112797,0.593841642228739
Logistic Regression,ER,0.7613019891500904,0.7554347826086957,0.7439780649176632,0.7198324022346368,0.7613019891500904,0.7554347826086957,0.6857646439444229,0.6729448877342735,0.7027027027027027,0.5679450400120791,0.7027027027027027,0.606719717868196,0.570529704419081
Logistic Regression,PR,0.6636528028933092,0.6467391304347826,0.638045269810545,0.6125160792384873,0.6636528028933092,0.6467391304347826,0.5979330753240607,0.5669146650058634,0.654054054054054,0.6143591444204941,0.654054054054054,0.5951593912943406,0.5818698347107437
Logistic Regression,HER2,0.8173598553345389,0.8206521739130435,0.7612871668692378,0.6898889154323937,0.8173598553345389,0.8206521739130435,0.7418467006170443,0.749610642439974,0.8324324324324325,0.7797518830305716,0.8324324324324325,0.7660141393079078,0.5632593213238375
Logistic Regression,Mol Subtype,0.6582278481012658,0.657608695652174,0.5486161995738015,0.5287375516152538,0.6582278481012658,0.657608695652174,0.540443841082951,0.5388833444950735,0.6162162162162163,0.5058882086506397,0.6162162162162163,0.4852813852813852,
Decision Tree,ER,0.7739602169981917,0.7228260869565217,0.762621458420828,0.616984126984127,0.7739602169981917,0.7228260869565217,0.7161739950860929,0.6459773453383677,0.6972972972972973,0.5839271089271089,0.6972972972972973,0.6118570183086312,0.5167544629792216
Decision Tree,PR,0.7359855334538878,0.6141304347826086,0.7353706551522042,0.6078249859476499,0.7359855334538878,0.6141304347826086,0.7356682449110469,0.6105373735192717,0.6054054054054054,0.6068607068607068,0.6054054054054054,0.6061161808339267,0.5437758264462811
Decision Tree,HER2,0.8969258589511754,0.75,0.8919318738848796,0.7213745611666217,0.8969258589511754,0.75,0.8886774802316645,0.7346661948572776,0.7243243243243244,0.7051752768733902,0.7243243243243244,0.7144351683110722,0.46983661499790536
Decision Tree,Mol Subtype,0.7197106690777577,0.6467391304347826,0.7337934661385694,0.5868059615969315,0.7197106690777577,0.6467391304347826,0.656936577721908,0.5573506726352984,0.5675675675675675,0.47919035919035907,0.5675675675675675,0.4786238576706202,
Random Forest,ER,0.8607594936708861,0.7554347826086957,0.8825955812214803,0.7343462246777163,0.8607594936708861,0.7554347826086957,0.84001253958197,0.6646087902245538,0.7135135135135136,0.6312757672927164,0.7135135135135136,0.6289212314390797,0.5747731928592333
Random Forest,PR,0.9927667269439421,0.6032608695652174,0.9927779454465611,0.5864602446004421,0.9927667269439421,0.6032608695652174,0.992758034107152,0.5919468887607426,0.6432432432432432,0.6308950171545591,0.6432432432432432,0.635204938594769,0.5989798553719008
Random Forest,HER2,1.0,0.8152173913043478,1.0,0.6891064136440067,1.0,0.8152173913043478,1.0,0.7468758135902109,0.827027027027027,0.7510741510741511,0.827027027027027,0.7630100688924218,0.525240888144114
Random Forest,Mol Subtype,0.650994575045208,0.6630434782608695,0.4237939367382909,0.43962665406427215,0.650994575045208,0.6630434782608695,0.5133801687103503,0.5287013356067064,0.6108108108108108,0.3730898466033601,0.6108108108108108,0.4632323598766552,
XGBoost,ER,0.9981916817359855,0.7608695652173914,0.9981960391293928,0.7252100840336134,0.9981916817359855,0.7608695652173914,0.9981895082859984,0.7095238095238094,0.7081081081081081,0.6527721126326073,0.7081081081081081,0.656957528957529,0.5626280362891424
XGBoost,PR,0.9981916817359855,0.6032608695652174,0.9981967048422744,0.5702841697009247,0.9981916817359855,0.6032608695652174,0.998190602930611,0.5759137565173799,0.6270270270270271,0.6048261952979807,0.6270270270270271,0.6107064593551081,0.5619834710743801
XGBoost,HER2,1.0,0.8152173913043478,1.0,0.7546376811594202,1.0,0.8152173913043478,1.0,0.7705991516436903,0.8162162162162162,0.7272072072072072,0.8162162162162162,0.7570031108953266,0.5465018852115626
XGBoost,Mol Subtype,1.0,0.6358695652173914,1.0,0.5022209674383588,1.0,0.6358695652173914,1.0,0.552069551751418,0.5783783783783784,0.43152862673820763,0.5783783783783784,0.4783697983697984,
SVM,ER,0.7486437613019892,0.75,0.5604674813363897,0.5625,0.7486437613019892,0.75,0.6410310593154571,0.6428571428571428,0.7243243243243244,0.524645726807889,0.7243243243243244,0.6085232567991189,
SVM,PR,0.6491862567811935,0.6413043478260869,0.42144279599357765,0.41127126654064267,0.6491862567811935,0.6413043478260869,0.511091811808001,0.5011517420097897,0.654054054054054,0.42778670562454346,0.654054054054054,0.5172584349054937,
SVM,HER2,0.8173598553345389,0.8315217391304348,0.6680771331124984,0.6914284026465028,0.8173598553345389,0.8315217391304348,0.7352172231068888,0.7550316088246679,0.8324324324324325,0.6929437545653763,0.8324324324324325,0.7563102925934785,
SVM,Mol Subtype,0.650994575045208,0.6630434782608695,0.4237939367382909,0.43962665406427215,0.650994575045208,0.6630434782608695,0.5133801687103503,0.5287013356067064,0.6108108108108108,0.3730898466033601,0.6108108108108108,0.4632323598766552,
