Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.7992766726943942,0.7842792112983139,0.7992766726943942,0.7842476221789061,0.7681159420289855,0.7565112529656185,0.7681159420289855,0.7593680274980402,0.7489177489177489,0.7327717327717328,0.7489177489177489,0.7386403168526074
Decision Tree,ER,0.9584086799276673,0.9583168273376547,0.9584086799276673,0.958358690577966,0.9565217391304348,0.9576368466508511,0.9565217391304348,0.9568433895297249,0.9567099567099567,0.9573732310574415,0.9567099567099567,0.9569509783345022
KNN,ER,0.9547920433996383,0.9556787666684764,0.9547920433996383,0.9536408915005002,0.9565217391304348,0.9563123174832172,0.9565217391304348,0.95616704805492,0.935064935064935,0.9364029818470151,0.935064935064935,0.9326639746807814
Logistic Regression,ER,0.9819168173598554,0.9823433075164624,0.9819168173598554,0.9816873394338924,0.9782608695652174,0.9782151029748284,0.9782608695652174,0.9781743273113166,0.987012987012987,0.9871345642926249,0.987012987012987,0.987049665310535
Random Forest,ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948051948051948,0.9497522058997468,0.948051948051948,0.9463311757142583
SVM,ER,0.9819168173598554,0.9823433075164624,0.9819168173598554,0.9816873394338924,0.9855072463768116,0.9857942315970728,0.9855072463768116,0.9853890160183066,0.9956709956709957,0.9956958750062198,0.9956709956709957,0.9956584116714426
XGBoost,ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,PR,0.6799276672694394,0.6627531251404519,0.6799276672694394,0.661814719422136,0.6014492753623188,0.5877113526570049,0.6014492753623188,0.5892147803884155,0.670995670995671,0.658214801071944,0.670995670995671,0.6627838077113439
Decision Tree,PR,0.895117540687161,0.9034480626296129,0.895117540687161,0.8910002074664021,0.8840579710144928,0.8972716307172036,0.8840579710144928,0.8801127214170692,0.8701298701298701,0.8686855313361336,0.8701298701298701,0.8675082681293861
KNN,PR,0.8698010849909584,0.8807513078995372,0.8698010849909584,0.8632250432589724,0.8623188405797102,0.8812509534706331,0.8623188405797102,0.8561301052276611,0.8701298701298701,0.8711741549739184,0.8701298701298701,0.8655439936837827
Logistic Regression,PR,0.9005424954792043,0.9089060204739126,0.9005424954792043,0.8967436164611482,0.8840579710144928,0.9027960767091202,0.8840579710144928,0.8792869172147618,0.8874458874458875,0.886383729121261,0.8874458874458875,0.885682275471008
Random Forest,PR,0.9746835443037974,0.9753246855502137,0.9746835443037974,0.9744876387664222,0.9637681159420289,0.96582674571805,0.9637681159420289,0.963435157943167,0.8528138528138528,0.850528794103603,0.8528138528138528,0.8505075910005486
SVM,PR,0.8987341772151899,0.9074459487152396,0.8987341772151899,0.8947588210020433,0.8840579710144928,0.9027960767091202,0.8840579710144928,0.8792869172147618,0.9004329004329005,0.9018884341464988,0.9004329004329005,0.8977002559484312
XGBoost,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,HER2,0.7992766726943942,0.7832147062534169,0.7992766726943942,0.789910982786009,0.717391304347826,0.7321893035782993,0.717391304347826,0.7245595821433334,0.8051948051948052,0.7917267917267917,0.8051948051948052,0.7976075760700896
Decision Tree,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8874458874458875,0.8853398215274408,0.8874458874458875,0.8862959956709957
KNN,HER2,0.8245931283905967,0.7986126198999687,0.8245931283905967,0.7633776011848982,0.8478260869565217,0.8223295759527643,0.8478260869565217,0.7957595704139963,0.8311688311688312,0.8044733044733046,0.8311688311688312,0.7659865249919089
Logistic Regression,HER2,0.8173598553345389,0.6680771331124984,0.8173598553345389,0.7352172231068888,0.8405797101449275,0.7065742491073304,0.8405797101449275,0.7677735935182015,0.8268398268398268,0.6836640992485148,0.8268398268398268,0.7484663835374735
Random Forest,HER2,0.9927667269439421,0.9928301767075917,0.9927667269439421,0.9927095958992461,1.0,1.0,1.0,1.0,0.8787878787878788,0.868833260137608,0.8787878787878788,0.866072788183341
SVM,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9783549783549783,0.9789071472744942,0.9783549783549783,0.9777733033546988
XGBoost,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,Mol Subtype,0.9059674502712477,0.9144573914842405,0.9059674502712477,0.9091969531675375,0.8260869565217391,0.8574547201759031,0.8260869565217391,0.8373307563486411,0.8268398268398268,0.87531052318334,0.8268398268398268,0.8441925139923556
Decision Tree,Mol Subtype,0.9981916817359855,0.9982195020169704,0.9981916817359855,0.9981863049799706,0.9927536231884058,0.992833253702819,0.9927536231884058,0.9926011080226792,0.9523809523809523,0.956824783967641,0.9523809523809523,0.9534062330876891
KNN,Mol Subtype,0.9439421338155516,0.9453372855034636,0.9439421338155516,0.9418240725257289,0.9565217391304348,0.9583610368728678,0.9565217391304348,0.9534560447603928,0.8744588744588745,0.8733656555923065,0.8744588744588745,0.8648567943205736
Logistic Regression,Mol Subtype,0.9981916817359855,0.9982111260183942,0.9981916817359855,0.9981841833411106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.95192193139213,0.9523809523809523,0.9509069503517195
SVM,Mol Subtype,0.9945750452079566,0.9949819168173599,0.9945750452079566,0.9946156266879593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
